Course,Term,Enroll #,Evals Made,Recommend Class,Recommend Instructor,Study Hours (hrs/wk),Avg Grade Expected/Received,Difficulty Score,Difficulty
DSC 30 - DataStrc/Algrthms for Data Sci (C),FA21,28,18,93.8,87.5,12.1,B (3.20) / B- (2.77),44.9,Moderate
DSC 30 - DataStrc/Algrthms for Data Sci (D),FA21,44,19,70.6,76.5,12.83,B (3.06) / B- (2.75),44.69,Moderate
DSC 40A - Theor Fndtns of Data Sci I (A),FA21,136,124,96.0,100.0,7.33,B+ (3.56) / B+ (3.37),25.79,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),FA21,70,52,96.2,100.0,6.35,B+ (3.68) / B+ (3.42),24.250000000000007,Easy
DSC 40B - Theor Fndtns of Data Sci II (B),FA21,13,5,100.0,100.0,7.7,B+ (3.50) / N/A,63.1,Difficult
DSC 80 - Practice of Data Science (A),FA21,94,45,97.7,100.0,11.73,B+ (3.64) / B+ (3.39),40.190000000000005,Moderate
DSC 95 - Tutor Appshp in Data Science (A),FA21,22,18,94.4,100.0,1.61,A (4.00) / N/A,44.83,Moderate
DSC 96 - Workshop in Data Science (A),FA21,22,12,70.0,100.0,3.23,A (4.00) / N/A,49.69,Moderate
DSC 30 - DataStrc/Algrthms for Data Sci (A),S221,39,6,16.7,66.7,18.83,B+ (3.67) / B- (2.79),74.08999999999999,Difficult
DSC 10 - Principles of Data Science (A),S121,86,20,90.0,94.7,11.9,A- (3.85) / B+ (3.57),41.3,Moderate
DSC 10 - Principles of Data Science (A),SP21,139,58,91.2,84.2,8.78,B+ (3.57) / B+ (3.35),30.739999999999988,Easy
DSC 100 - Intro to Data Management (A),SP21,14,11,90.9,90.9,5.41,A- (3.86) / N/A,56.23,Moderate
DSC 102 - Systems for Scalable Analytics (A),SP21,132,47,78.7,67.4,5.54,A- (3.78) / A- (3.98),22.620000000000008,Easy
DSC 106 - Intro to Data Visualization (A),SP21,41,12,83.3,75.0,4.0,A- (3.92) / A- (3.94),12.6,Very Easy
DSC 140A - Probabilistic Modeling and ML (A),SP21,104,33,34.4,21.9,6.81,B (3.20) / B+ (3.66),34.23,Easy
DSC 161 - Text as Data (A),SP21,24,9,100.0,100.0,4.25,A- (3.75) / B+ (3.66),14.549999999999995,Very Easy
DSC 167 - Fairness&AlgorithmicDecisions (A),SP21,46,16,87.5,100.0,6.0,B+ (3.64) / B+ (3.41),22.6,Easy
DSC 190 - Topics in Data Science (A),SP21,71,29,100.0,100.0,4.36,A- (3.78) / A- (3.70),14.679999999999994,Very Easy
DSC 20 - Prgrmng/DataStruc for Data Sci (A),SP21,113,36,85.3,73.5,11.47,B+ (3.39) / B+ (3.38),34.61,Easy
DSC 30 - DataStrc/Algrthms for Data Sci (A),SP21,149,70,83.8,72.1,10.65,B+ (3.47) / B+ (3.36),34.150000000000006,Easy
DSC 40A - Theor Fndtns of Data Sci I (A),SP21,48,21,76.2,75.0,11.26,B (3.08) / B+ (3.47),45.48,Moderate
DSC 40A - Theor Fndtns of Data Sci I (B),SP21,45,10,77.8,77.8,9.7,B+ (3.38) / B+ (3.40),29.7,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),SP21,57,24,100.0,87.0,5.98,B+ (3.61) / B+ (3.65),19.14,Very Easy
DSC 80 - Practice of Data Science (A),SP21,183,65,98.4,100.0,12.11,B+ (3.56) / B+ (3.67),39.62999999999999,Easy
DSC 90 - Seminar in Data Science (A),SP21,11,8,100.0,100.0,1.75,N/A / N/A,45.25,Moderate
DSC 95 - Tutor Appshp in Data Science (A),SP21,7,5,100.0,100.0,1.7,N/A / N/A,45.1,Moderate
DSC 10 - Principles of Data Science (A),WI21,78,35,85.7,85.7,7.76,B+ (3.59) / B (3.28),29.480000000000004,Easy
DSC 10 - Principles of Data Science (B),WI21,86,39,94.6,89.2,6.61,B+ (3.48) / B+ (3.55),21.93,Easy
DSC 100 - Intro to Data Management (A),WI21,143,96,92.6,85.1,5.95,A- (3.79) / B+ (3.63),21.05,Easy
